SampleID	Subject	Day	Group	SampleType
F3D0	F3	0	Early	Stool
F3D1	F3	1	Early	Stool
F3D2	F3	2	Early	Stool
F3D3	F3	3	Early	Stool
F3D5	F3	5	Early	Stool
F3D6	F3	6	Early	Stool
F3D7	F3	7	Early	Stool
F3D8	F3	8	Early	Stool
F3D9	F3	9	Early	Stool
F3D141	F3	141	Late	Stool
F3D142	F3	142	Late	Stool
F3D143	F3	143	Late	Stool
F3D144	F3	144	Late	Stool
F3D145	F3	145	Late	Stool
F3D146	F3	146	Late	Stool
F3D147	F3	147	Late	Stool
F3D148	F3	148	Late	Stool
F3D149	F3	149	Late	Stool
F3D150	F3	150	Late	Stool
Mock	NA	NA	Control	Mock_Community
